CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|HORINITRANSACCION|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|DESTRANSACCIONVENTANILLA|ACTV_BENEFICIARIO|TIPPER_BENEFICIARIO|FLG_FFNN_BENEFICIARIO|FLG_FFNN_SOLICITANTE|TIPBANCA_BENEFICIARIO|TIPBANCA_SOLICITANTE|MTOTRANSACCION|TIPPER_SOLICITANTE|DESBANCA_BENEFICIARIO|DESBANCA_SOLICITANTE|FECONS_BENEFICIARIO|FECONS_SOL|FLG_AN_BENEFICIARIO|FLG_AN_SOLICITANTE|FLG_REL|FLG_ROS_BEN|FLG_ROS_SOL
6930981|12147397|202312|15/12/23|15:00:48|215015|234|902657365132|62|Depósito Cte|7421|E|1|0|E|P|636896.60|P|EMPRESA                            |BANCA PERSONAL                     |01/02/07||0|1|0|0|1
17574958|12490300|202312|20/12/23|14:25:49|575000|480|902659265219|62|Depósito Cte|5234|E|1|0|P|P|350000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |19/02/09||0|0|0|0|0
462078|6784226|202312|07/12/23|18:21:58|220000|869|801219781917|60|Depósito Aho|6592|E|1|1|P|P|395250.76|P|BANCA PERSONAL                     |BANCA PERSONAL                     |01/04/63||0|0|0|1|0
338029|16500143|202312|19/12/23|10:08:19|355002|67|801223839801|117|Credipago without validation|2520|E|1|0|C|P|293946.40|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |07/12/87||0|0|0|1|0
9527788|9527788|202312|19/12/23|11:17:02|480000|197|902658583778|62|Depósito Cte|0122|E|1|1|E|E|244350.00|E|EMPRESA                            |EMPRESA                            |01/07/11|01/07/11|0|0|0|1|1
9527788|9527788|202312|05/12/23|10:31:48|480000|134|902653580187|62|Depósito Cte|0122|E|1|1|E|E|490240.00|E|EMPRESA                            |EMPRESA                            |01/07/11|01/07/11|0|0|0|1|1
22175263|10131376|202312|06/12/23|13:12:39|405005|209|902654228849|62|Depósito Cte|7414|E|1|0|P|P|244540.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |12/03/18||0|0|0|1|0
3423599|5776482|202312|22/12/23|14:15:04|191061|342|902660274935|117|Credipago without validation|1512|E|1|0|E|P|268801.50|P|EMPRESA                            |BANCA PERSONAL                     |19/07/01||0|0|1|1|0
11853125|16298401|202312|26/12/23|11:06:03|200000|100|902660928652|117|Credipago without validation|5122|E|1|0|P|P|259221.49|P|BANCA PERSONAL                     |BANCA PERSONAL                     |03/06/13||0|0|1|0|0
8816057|2297901|202312|30/12/23|13:16:40|375000|281|902663162641|117|Credipago without validation|5239|E|1|1|P|P|200000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |03/11/10||0|0|1|0|0
71541|8473425|202312|15/12/23|12:59:27|194015|156|801222428293|117|Credipago without validation|1543|E|1|0|E|P|234088.48|P|EMPRESA                            |BANCA PERSONAL                     |15/12/39||0|0|0|0|0
1891245|11254650|202312|14/12/23|16:55:37|375000|508|902656964608|107|Pago de Credito ALS|9309|P|1|1|P|P|232987.39|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|1|0|0
7853081|7853081|202312|23/12/23|12:49:42|318000|126|801226446899|60|Depósito Aho|0091|P|0|0|P|P|344000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
28309850|15940528|202312|11/12/23|16:27:07|191120|475|801220302652|62|Depósito Cte|7412|E|0|0|P|P|200000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |02/11/16||0|0|1|0|0
13390830|5070164|202312|15/12/23|12:11:33|215002|334|902657227364|62|Depósito Cte|9199|E|1|1|P|P|336600.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |18/10/18||0|0|0|0|0
25515995|86628|202312|22/12/23|10:31:28|194066|38|801225657272|62|Depósito Cte|6023|E|0|1|P|P|220000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |23/08/21||0|0|1|0|0
10464116|5324436|202312|04/12/23|13:58:41|215000|667|801217717685|60|Depósito Aho|7499|P|0|0|P|P|348780.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
13906912|22383949|202312|02/12/23|10:12:40|191033|22|902652731605|117|Credipago without validation|5122|E|1|0|E|P|240000.00|P|EMPRESA                            |BANCA PERSONAL                     |05/11/14||0|0|1|0|0
12844012|12844012|202312|11/12/23|13:06:34|380000|387|801220092105|62|Depósito Cte|5122|E|1|1|C|C|203560.00|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |25/03/14|25/03/14|0|0|0|0|0
8672384|21226791|202312|28/12/23|13:30:39|193055|129|902662073218|62|Depósito Cte|6712|E|1|0|E|P|277782.50|P|EMPRESA                            |BANCA PERSONAL                     |12/02/09||0|0|0|0|0
8672384|21226791|202312|22/12/23|16:07:49|193055|168|902660369981|62|Depósito Cte|6712|E|1|0|E|P|276020.00|P|EMPRESA                            |BANCA PERSONAL                     |12/02/09||0|0|0|0|0
8672384|21226791|202312|15/12/23|15:48:46|193055|198|902657406197|62|Depósito Cte|6712|E|1|0|E|P|282020.00|P|EMPRESA                            |BANCA PERSONAL                     |12/02/09||0|0|0|0|0
8672384|21226791|202312|20/12/23|16:35:39|193055|217|902659380058|62|Depósito Cte|6712|E|1|0|E|P|278982.50|P|EMPRESA                            |BANCA PERSONAL                     |12/02/09||0|0|0|0|0
25822714|469336|202312|06/12/23|18:14:51|405005|460|902654486085|62|Depósito Cte|5231|E|1|0|P|P|340000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |14/10/08||0|0|1|0|0
13638651|13638651|202312|19/12/23|12:16:44|215009|174|801223979442|60|Depósito Aho|0099|P|0|0|P|P|670000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
25408813|4555671|202312|16/12/23|12:07:08|395000|179|902657777715|62|Depósito Cte|5150|E|0|0|P|P|206720.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |01/03/21||0|0|0|0|0
3855878|23323429|202312|02/12/23|12:21:18|395000|222|902652867872|62|Depósito Cte|5122|E|1|0|E|P|218634.10|P|EMPRESA                            |BANCA PERSONAL                     |03/06/02||0|0|0|0|0
2062270|2062270|202312|20/12/23|15:41:06|191058|317|801224790685|64|Depósito Cta Plazo|0091|P|0|0|P|P|541173.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
13742|5261653|202312|19/12/23|13:58:01|191095|190|801224079121|117|Credipago without validation|2423|E|1|0|E|P|200000.00|P|EMPRESA                            |BANCA PERSONAL                     |19/08/88||0|0|0|0|0
